# Data released in public domain
>>adjectives
colors	 நிறங்கள்
black	 கருப்பு
blue	 நீலம்
brown	 பழுப்பு
gray	 சாம்பல்
green	 பச்சை
orange	 செம்மஞ்சள்
purple	 ஊதா
red	 சிகப்பு
white	 வெள்ளை
yellow	 மஞ்சள்
sizes	 பரிமானங்கள்
big	 பெரிய
deep	 ஆழமான
long	 நீளமான
narrow	 குறுகலான
short	 குட்டையான
small	 சிறிய
tall	 உயரமான
thick	 தடியான
thin	 ஒல்லியான
wide	 அகலமான
shapes	 வடிவங்கள்
circular	 வட்டமான
straight	 நேரான
square	 சதுரமான
triangular	 முக்கோணமான
tastes	 சுவைகள்
bitter	 கசப்பான
fresh	 உவர்ப்பற்ற
salty  உப்பு கரிக்கிற
sour	 புளிப்பான
spicy	 காரசாரமான
sweet	 இனிப்பான
qualities	 தரங்கள்
bad	 மோசமான
clean	 சுத்தமான
dark  கரு நிறமான
difficult	 கடினமான
dirty	 அழுக்கான
dry	 காய்ந்த
easy	 எளிதான
empty	 காலியான
expensive	 கிராக்கியான
fast	 வேகமான
foreign	 அயலான
full	 நிறைந்த
good	 நல்ல
hard	 கெட்டியான
heavy	 கனமான
inexpensive	 மலிவான
light	 இலேசான
local	 ஓரிடத்திற்குரிய
new	 புதிய
noisy	 சத்தமான
old	 பழைய
powerful	 சக்தியுள்ள
quiet	 அசையாத
correct	 சரியான
slow	 மெதுவான
soft	 மிருதுவான
very	 மிகவும்
weak	 வலுக்குறைந்த
wet	 ஈரமான
wrong	 தவறான
young	 இளமையான
quantities	 அளவுகள்
few	 குறைவான
little	 சிறிதளவான
many	 ஏராளமான
much	 மிகுந்த
part	 பகுதி
some	 கொஞ்சம்
a few	 சில
whole	 முழுமையான
