>>animals in plural
alligator	 முதலை
alligators	 முதலைகள்
bear	 கரடி
bears	 கரடிகள்
bird	 பறவை
birds	 பறவைகள்
bull	 எருது
bulls	 எருதுகள்
cat	 பூனை
cats	 பூனைகள்
cow	 பசு
cows	 பசுக்கள்
deer	 மான்
many deer  பல மான்கள்
dog	 நாய்
dogs	 நாய்கள்
donkey	 கழுதை
donkeys	 கழுதைகள்
eagle	 கழுகு
eagles	 கழுகுகள்
elephant	 யானை
elephants	 யானைகள்
giraffe	 ஒட்டகச்சிவிங்கி
giraffes	 ஒட்டகச்சிவிங்கிகள்
goat	 ஆடு
goats	 ஆடுகள்
horse	 குதிரை
horses	 குதிரரைகள்
lion	 சிங்கம்
lions	 சிங்கங்கள்
monkey	 குரங்கு
monkeys	 குரங்குகள்
mouse	 சுண்டெலி
mice	 சுண்டெலிகள்
rabbit	 முயல்
rabbits	 முயல்கள்
snake	 பாம்பு
snakes	 பாம்புகள்
tiger	 புலி
tigers	 புலிகள்
wolf	 ஓநாய்
wolves	 ஓநாய்கள்
