# (C) 2015 Muthiah Annamalai | Compiled for Open-Tamil project
# Ref: ta.wikipedia.org/wiki/பன்னாட்டுத்_தலைநகரங்களின்_பட்டியல்
# special formatting - country and capitals are tab delimited
>> நகரம்-நாடு
அபுதாபி 	 ஐக்கிய அரபு அமீரகம்
அபுஜா 	 நைஜீரியா
அக்ரா 	 கானா
ஆடம்சுடவுன் 	 பிட்கைரன் தீவுகள்
அடிஸ் அபாபா 	 எதியோப்பியா
அல்ஜியர்ஸ் 	 அல்ஜீரியா
அலோபி 	 நியுவே
அம்மான் 	 ஜோர்தான்
ஆம்ஸ்டர்டாம் 	 நெதர்லாந்து (உத்தியோகபூர்வ)
அன்டோரா லா வெல்லா 	 அண்டோரா
அங்காரா 	 துருக்கி
அண்டனானரீவோ 	 மடகாஸ்கர்
ஆப்பியா 	 சமோவா
அஸ்காபாத் 	 துருக்மெனிஸ்தான்
அஸ்மாரா 	 எரித்திரியா
அஸ்தானா 	 கசகிசுதான்
அசுன்சியன் 	 பராகுவே
ஏதென்ஸ் 	 கிரேக்கம்
அவாருவா 	 குக் தீவுகள்
பாக்தாத் 	 ஈராக்
பாகு 	 அசர்பைஜான்
பமாக்கோ 	 மாலி
பந்தர் செரி பெகவன் 	 பக்ரைன் [a]
பாங்கொக் 	 தாய்லாந்து
பாங்குயி 	 மத்திய ஆபிரிக்கக் குடியரசு
பஞ்சுல் 	 கம்பியா
பாசெட்டெரே 	 செயிண்ட். கிட்ஸ் நெவிஸ்
பீஜிங் 	 சீனா [b]
பெய்ரூட் 	 லெபனான்
பெல்பாஸ்ட் 	ஐக்கிய இராச்சியத்தின் கொடி வட அயர்லாந்து
பெல்கிரேட் 	 செர்பியா
பெல்மோப்பான் 	 பெலீசு
பெர்லின் 	 இடாய்ச்சுலாந்து
பேர்ண் 	 சுவிட்சர்லாந்து
பிசுக்கெக் 	 கிர்கிஸ்தான்
பிசாவு 	 கினியா-பிசாவு
பொகொட்டா 	 கொலம்பியா
பிரேசிலியா 	 பிரேசில்
பிராத்திஸ்லாவா 	 சிலவாக்கியா
பிராசவில்லி 	 கொங்கோ குடியரசு
பிரிஜ்டவுன் 	 பார்படோசு
